unit	function	fuzzy	equiv-verdict	verdict	evidence
mario/Map/MapEventMare	initCommon__21TMareEventDepressWallFv	99.85	UNSUPPORTED	EQUIVALENT	index arithmetic renamed
mario/Map/BathWaterManager	render__22TBathWaterFlatRendererFPQ26JDrama9TGraphicsRC12TBathtubDataPP10TBathWaterPP16TBathWaterParamsi	99.89	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/MoveBG/MapObjBase	makeObjAppeared__11TMapObjBaseFv	99.93	DIFFERENT	EQUIVALENT	retail calls TMapCollisionBase::setMtx(m) out of line, ours inlines its body MTXCopy(m, this+0x20)
mario/MoveBG/MapObjBase	initAndRegister__11TMapObjBaseFPCc	99.79	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/MoveBG/MapObjGeneral	thrown__14TMapObjGeneralFv	99.55	DIFFERENT	EQUIVALENT	throw-speed fmadds renamed; the three stores get the same values
mario/MoveBG/MapObjGeneral	recover__14TMapObjGeneralFv	99.70	DIFFERENT	EQUIVALENT	0x20(r4) loaded into f5 vs f3; f3 is reloaded before clean(), f5 stale
mario/MoveBG/MapObjGeneral	bind__14TMapObjGeneralFv	99.86	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/MoveBG/Item	control__6TShineFv	99.95	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/MoveBG/Item	loadBeforeInit__6TShineFR20JSUMemoryInputStream	99.97	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/MoveBG/MapObjBianco	touchWater__19TBiancoMiniWindmillFP9THitActor	99.94	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/MoveBG/MapObjBianco	bind__9TLeafBoatFv	99.28	UNSUPPORTED	EQUIVALENT	sub() this/arg pointers loaded in a different order
mario/MoveBG/MapObjBianco	loadAfter__15TLampSeesawMainFv	99.90	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/MoveBG/MapObjMamma	waitBeforeExplode__11TSandCastleFv	99.94	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/MoveBG/MapObjMamma	control__17TMammaBlockRotateFv	99.95	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/MoveBG/MapObjPinna	control__11TPinnaShellFv	99.89	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/MoveBG/MapObjPinna	moveObject__8TAmiKingFv	99.92	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/MoveBG/MapObjMare	initDraw__9TCogwheelCFv	99.96	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/MoveBG/MapObjMare	initDraw__9TWireBellCFv	99.96	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/MoveBG/MapObjMare	touchPlayer__14TMapObjPuncherFP9THitActor	99.72	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/MoveBG/MapObjBall	kicked__11TMapObjBallFv	99.81	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/MoveBG/MapObjBall	touchWater__11TMapObjBallFP9THitActor	99.66	DIFFERENT	EQUIVALENT	two lfs reordered, fmadds f1*f2 same
mario/MoveBG/MapObjBall	boundByActor__11TMapObjBallFP9THitActor	99.94	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/MoveBG/MapObjBall	calcCurrentMtx__11TMapObjBallFv	99.29	DIFFERENT	EQUIVALENT	x*x+z*z vs z*z+x*x in one fmadds: last-ulp fma rounding difference only
mario/MoveBG/MapObjBall	checkWallCollision__11TMapObjBallFPQ29JGeometry8TVec3<f>	99.29	UNSUPPORTED	EQUIVALENT	fadds operand loads reordered
mario/MoveBG/MapObjBall	touchWater__11TResetFruitFP9THitActor	99.74	DIFFERENT	EQUIVALENT	two lfs reordered, fmadds same
mario/MoveBG/MapObjBall	kicked__11TResetFruitFv	99.82	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/MoveBG/ModelGate	loadAfter__10TModelGateFv	99.95	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/MoveBG/MapObjMonte	initDraw__14THangingBridgeCFv	99.87	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/MoveBG/MapObjMonte	loadAfter__14THangingBridgeFv	99.87	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/MoveBG/MapObjMonte	initDraw__11TSwingBoardCFv	99.96	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/MoveBG/MapObjMonte	control__13TFluffManagerFv	99.56	DIFFERENT	EQUIVALENT	three member += adds with commuted fadds operands
mario/MoveBG/MapObjCorona	perform__8TBathtubFUlPQ26JDrama9TGraphics	99.59	DIFFERENT	EQUIVALENT	MActor::calc() takes this only; r5/r6 stale
mario/MoveBG/MapObjCorona	control__8TBathtubFv	99.05	DIFFERENT	EQUIVALENT	li r30,0 vs mr r30,r29 (r29=0); cross product renamed and commuted; emitAndBindToMtxPtr args equal
mario/MoveBG/MapObjCorona	allowsTumble__8TBathtubCFv	99.83	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/MoveBG/MapObjCorona	getNextJuncture__8TBathtubCFRCQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>	99.47	UNSUPPORTED	EQUIVALENT	dot-product fmadds regrouped per component; matan args equal
mario/MoveBG/MapObjCorona	getNextGrip__8TBathtubCFRCQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>fPf	99.49	UNSUPPORTED	EQUIVALENT	same as getNextJuncture
mario/NPC/NpcAnm	walkAnmRateChange___8TBaseNPCFv	99.60	DIFFERENT	EQUIVALENT	mr r0,r3 (r3=1) vs li r0,1
mario/NPC/NpcAnm	npcWetting__8TBaseNPCFv	99.83	DIFFERENT	EQUIVALENT	void; r4 at return stale
mario/NPC/NpcChange	changeNerveProc___8TBaseNPCFv	99.63	DIFFERENT	EQUIVALENT	addi r27,r30,0 with r30==0 on the only path vs li r27,0
mario/Strategic/liveactor	calcRideMomentum__10TLiveActorFv	99.85	DIFFERENT	EQUIVALENT	fadds commuted; void so f1 at return stale
mario/Strategic/MirrorActor	init__12TMirrorActorFP8J3DModelUs	99.94	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/MarioUtil/DrawUtil	loadAfter__11TSilhouetteFv	99.74	UNSUPPORTED	EQUIVALENT	cross-ratio fmuls/fmsubs renamed
mario/MarioUtil/MtxUtil	constraintTail__5TRopeFRCQ29JGeometry8TVec3<f>	99.58	DIFFERENT	EQUIVALENT	epsilonEquals(prev,cur) vs (cur,prev): d and -d tested against symmetric [-eps,eps]
mario/MarioUtil/ShadowUtil	__ct__16TMBindShadowBodyFP9THitActorP8J3DModelf	99.97	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/MarioUtil/ShadowUtil	entryDrawShadow__16TMBindShadowBodyFv	99.41	DIFFERENT	EQUIVALENT	f29/f31 renamed consistently; void so f1 at return stale
mario/MarioUtil/ShadowUtil	drawShadowVolume__19TMBindShadowManagerFbP16TAlphaShadowQuad	99.93	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/MarioUtil/ShadowUtil	forceRequest__19TMBindShadowManagerFRC20TCircleShadowRequestUl	99.50	DIFFERENT	EQUIVALENT	retail reads its stack copy of the request, ours the reference; no store in between
mario/Player/MarioAutodemo	readBillboard__6TMarioFv	99.90	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/Player/MarioDraw	MarioWaistCtrl__FP7J3DNodei	99.96	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/Player/MarioDraw	initModel__6TMarioFv	99.64	UNSUPPORTED	EQUIVALENT	loop counters renamed
mario/Player/MarioDraw	calcBaseMtx__6TMarioFPA4_f	99.67	UNSUPPORTED	EQUIVALENT	normalisation temps relocated and renamed
mario/Player/MarioDraw	calcAnim__6TMarioFUlPQ26JDrama9TGraphics	99.44	UNSUPPORTED	EQUIVALENT	retail reloads 0xc(r31) after the null test, ours reuses it
mario/Player/MarioJump	jumpMain__6TMarioFv	99.98	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/Player/MarioMove	checkWallPlane__6TMarioFP3Vecff	99.69	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/Player/MarioMove	checkController__6TMarioFPQ26JDrama9TGraphics	99.69	UNSUPPORTED	EQUIVALENT	input scaling fmadds renamed; constants map pairwise
mario/Player/MarioMove	checkCurrentPlane__6TMarioFv	99.19	UNSUPPORTED	EQUIVALENT	plane-normal dot reordered; three instructions hoisted into a separate block
mario/Player/MarioMove	thinkYoshiHeadCollision__6TMarioFv	99.73	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/Player/MarioPhysics	keepDistance__6TMarioFRCQ29JGeometry8TVec3<f>ff	99.55	DIFFERENT	EQUIVALENT	emitParticle(int): f3/f5 stale
mario/Player/MarioRun	walkEnd__6TMarioFv	99.99	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/Player/MarioSpecial	hanging__6TMarioFv	99.46	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/Player/MarioSpecial	wireWait__6TMarioFv	99.89	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/Player/MarioSpecial	wireSWait__6TMarioFv	99.69	UNSUPPORTED	EQUIVALENT	s16 angle difference negated (r30-a vs a-r30) against the symmetric (-0x4000,0x4000) window
mario/Player/MarioSpecial	wireRolling__6TMarioFv	99.63	UNSUPPORTED	EQUIVALENT	zero register choice
mario/Player/MarioSpecial	fenceMove__6TMarioFv	99.78	DIFFERENT	EQUIVALENT	fmadds multiplicands commuted
mario/Player/Yoshi	doSearch__6TYoshiFv	99.74	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/Player/Yoshi	movement__6TYoshiFv	99.66	UNSUPPORTED	EQUIVALENT	getOffYoshi arg load scheduled after the compare
mario/Player/Yoshi	entry__6TYoshiFv	99.94	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/Player/ModelWaterManager	loadAfter__18TModelWaterManagerFv	99.65	DIFFERENT	EQUIVALENT	fmadds multiplicands commuted
mario/Player/MarioCheckCol	hitNormal__6TMarioFP9THitActor	99.70	DIFFERENT	EQUIVALENT	mStaticHitActor address in r3 vs r7; r7 at icall stale
mario/Player/MarioReceiveMsg	receiveMessage__6TMarioFP9THitActorUl	99.98	UNSUPPORTED	EQUIVALENT	matan args from relocated copies, same components
mario/System/EventWatcher	evSetGraffitoMultiplied__FP32TSpcTypedInterp<13TEventWatcher>Ul	99.21	DIFFERENT	EQUIVALENT	loop counters renamed; r5/r7 at SpcTrace are stale varargs
mario/System/GCLogoDir	setup__10TGCLogoDirFPQ26JDrama8TDisplayP13TMarioGamePad	99.68	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/System/GCLogoDir	direct_nlogo__10TGCLogoDirFv	99.41	DIFFERENT	EQUIVALENT	retail reloads 0x1c(r29), ours reuses the earlier load; only loads/branches in between
mario/System/MarDirectorDirect	updateGameMode__12TMarDirectorFv	99.80	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/System/MarDirectorInitECT	initECDisp__12TMarDirectorFP12TPerformListPQ26JDrama55TViewObjPtrListT<Q26JDrama8TViewObj,Q26JDrama8TViewObj>PQ26JDrama55TViewObjPtrListT<Q26JDrama8TViewObj,Q26JDrama8TViewObj>	99.75	UNSUPPORTED	EQUIVALENT	setSrcRect args loaded in a different order
mario/System/MenuDir	rsetup__13TMenuDirectorFv	99.77	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/System/MenuDir	setFixedStageValue__13TMenuDirectorFv	99.93	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/System/Application	setupThreadFuncLogo__12TApplicationFv	99.96	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/System/Application	initialize_nlogoAfter__12TApplicationFv	99.93	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/System/Application	drawDVDErr__12TApplicationFv	99.81	UNSUPPORTED	EQUIVALENT	print x from (c-w)*k with renamed regs
mario/System/CardManager	copyTo__12TCardManagerFPQ212TCardManager9TCriteriaP17TCardBookmarkInfo	99.80	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/System/CardManager	writeBlock___12TCardManagerFUl	99.93	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/System/MovieDirector	rsetup__14TMovieDirectorFv	99.69	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/System/MovieDirector	direct__14TMovieDirectorFv	99.34	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/JSystem/JAudio/JAInterface/JAIGFrameSequence	checkPlayingSeqTrack__8JAIBasicFUl	99.61	DIFFERENT	EQUIVALENT	r27+(r22<<5)+0x1354 folded in a different order
mario/JSystem/JParticle/JPAField	loadFieldBlock__12JPABaseFieldFP12JPADataBlock	99.93	UNSUPPORTED	EQUIVALENT	only register renames, stack-slot offsets and frame size differ (stack)
mario/JSystem/JParticle/JPADrawVisitor	exec__22JPADrawExecDirectionalFPC14JPADrawContextP15JPABaseParticle	99.67	UNSUPPORTED	EQUIVALENT	stack vectors relocated; two lfs reordered
mario/JSystem/JParticle/JPADrawVisitor	exec__25JPADrawExecRotDirectionalFPC14JPADrawContextP15JPABaseParticle	99.96	DIFFERENT	EQUIVALENT	two lfs reordered
mario/JSystem/JParticle/JPADrawVisitor	exec__27JPADrawExecDirectionalCrossFPC14JPADrawContextP15JPABaseParticle	99.65	DIFFERENT	EQUIVALENT	two lfs reordered; stack vector renamed
mario/JSystem/JParticle/JPADrawVisitor	exec__30JPADrawExecRotDirectionalCrossFPC14JPADrawContextP15JPABaseParticle	99.97	DIFFERENT	EQUIVALENT	two lfs reordered
mario/TRK_MINNOW_DOLPHIN/debugger/embedded/MetroTRK/Portable/support	TRKSuppAccessFile	99.64	UNSUPPORTED	EQUIVALENT	MetroTRK hand frame: only prologue/epilogue layout differs
